Date,Product ID,Product Name,Category,Sales Channel,Units Sold,Revenue
5/1/2024,FC-3003,Fast Charger Premium,Fast Chargers,Direct,137,1233000.00
4/1/2024,FC-3003,Fast Charger Premium,Fast Chargers,Direct,115,1035000.00
6/1/2023,FC-3003,Fast Charger Premium,Fast Chargers,Direct,106,954000.00
5/1/2022,FC-3003,Fast Charger Premium,Fast Chargers,Direct,103,927000.00
2/1/2024,FC-3003,Fast Charger Premium,Fast Chargers,Direct,102,918000.00
3/1/2024,FC-3003,Fast Charger Premium,Fast Chargers,Direct,98,882000.00
4/1/2023,FC-3003,Fast Charger Premium,Fast Chargers,Direct,88,792000.00
3/1/2023,FC-3003,Fast Charger Premium,Fast Chargers,Direct,88,792000.00
2/1/2023,FC-3003,Fast Charger Premium,Fast Chargers,Direct,88,792000.00
12/1/2022,FC-3003,Fast Charger Premium,Fast Chargers,Direct,88,792000.00
6/1/2024,FC-3003,Fast Charger Premium,Fast Chargers,Direct,86,774000.00
5/1/2023,FC-3003,Fast Charger Premium,Fast Chargers,Direct,85,765000.00
6/1/2022,FC-3003,Fast Charger Premium,Fast Chargers,Direct,85,765000.00
7/1/2023,FC-3003,Fast Charger Premium,Fast Chargers,Direct,84,756000.00
11/1/2022,FC-3003,Fast Charger Premium,Fast Chargers,Direct,84,756000.00
3/1/2021,FC-3003,Fast Charger Premium,Fast Chargers,Direct,78,702000.00
12/1/2023,FC-3003,Fast Charger Premium,Fast Chargers,Direct,77,693000.00
4/1/2022,FC-3003,Fast Charger Premium,Fast Chargers,Direct,77,693000.00
10/1/2023,FC-3003,Fast Charger Premium,Fast Chargers,Direct,76,684000.00
1/1/2023,FC-3003,Fast Charger Premium,Fast Chargers,Direct,75,675000.00
8/1/2022,FC-3003,Fast Charger Premium,Fast Chargers,Direct,75,675000.00
11/1/2023,FC-3003,Fast Charger Premium,Fast Chargers,Direct,74,666000.00
8/1/2023,FC-3003,Fast Charger Premium,Fast Chargers,Direct,73,657000.00
3/1/2022,FC-3003,Fast Charger Premium,Fast Chargers,Direct,72,648000.00
5/1/2021,FC-3003,Fast Charger Premium,Fast Chargers,Direct,72,648000.00
2/1/2021,CC-2003,Commercial Charger Pro,Commercial Chargers,Direct,239,645300.00
3/1/2021,CC-2003,Commercial Charger Pro,Commercial Chargers,Distributor,234,631800.00
7/1/2022,FC-3003,Fast Charger Premium,Fast Chargers,Direct,70,630000.00
9/1/2023,FC-3003,Fast Charger Premium,Fast Chargers,Direct,68,612000.00
5/1/2022,CC-2003,Commercial Charger Pro,Commercial Chargers,Direct,225,607500.00
3/1/2021,CC-2003,Commercial Charger Pro,Commercial Chargers,Direct,225,607500.00
2/1/2021,CC-2003,Commercial Charger Pro,Commercial Chargers,Distributor,225,607500.00
1/1/2024,FC-3003,Fast Charger Premium,Fast Chargers,Direct,67,603000.00
6/1/2022,FC-3003,Fast Charger Premium,Fast Chargers,Direct,66,594000.00
6/1/2022,FC-3003,Fast Charger Premium,Fast Chargers,Distributor,66,594000.00
5/1/2021,FC-3003,Fast Charger Premium,Fast Chargers,Direct,66,594000.00
5/1/2021,FC-3003,Fast Charger Premium,Fast Chargers,Distributor,66,594000.00
6/1/2022,PC-4003,Public Charger Pro,Public Chargers,Direct,66,594000.00
6/1/2021,FC-3003,Fast Charger Premium,Fast Chargers,Direct,65,585000.00
5/1/2023,CC-2003,Commercial Charger Pro,Commercial Chargers,Distributor,216,583200.00
5/1/2022,CC-2003,Commercial Charger Pro,Commercial Chargers,Distributor,216,583200.00
7/1/2021,CC-2003,Commercial Charger Pro,Commercial Chargers,Distributor,216,583200.00
5/1/2024,FC-3001,Fast Charger Basic,Fast Chargers,Direct,128,576000.00
2/1/2024,PC-4003,Public Charger Pro,Public Chargers,Direct,63,567000.00
6/1/2022,CC-2003,Commercial Charger Pro,Commercial Chargers,Distributor,207,558900.00
4/1/2022,FC-3003,Fast Charger Premium,Fast Chargers,Direct,62,558000.00
4/1/2022,FC-3003,Fast Charger Premium,Fast Chargers,Distributor,62,558000.00
1/1/2022,FC-3003,Fast Charger Premium,Fast Chargers,Direct,62,558000.00
1/1/2022,FC-3003,Fast Charger Premium,Fast Chargers,Distributor,62,558000.00
4/1/2023,FC-3002,Fast Charger Plus,Fast Chargers,Direct,148,555000.00
8/1/2021,CC-2003,Commercial Charger Pro,Commercial Chargers,Direct,203,548100.00
7/1/2021,CC-2003,Commercial Charger Pro,Commercial Chargers,Direct,203,548100.00
1/1/2021,CC-2003,Commercial Charger Pro,Commercial Chargers,Direct,203,548100.00
3/1/2022,FC-3003,Fast Charger Premium,Fast Chargers,Direct,60,540000.00
3/1/2022,FC-3003,Fast Charger Premium,Fast Chargers,Distributor,60,540000.00
3/1/2023,CC-2003,Commercial Charger Pro,Commercial Chargers,Direct,198,534600.00
3/1/2023,CC-2003,Commercial Charger Pro,Commercial Chargers,Distributor,198,534600.00
6/1/2022,CC-2003,Commercial Charger Pro,Commercial Chargers,Direct,198,534600.00
8/1/2021,CC-2003,Commercial Charger Pro,Commercial Chargers,Distributor,198,534600.00
6/1/2024,FC-3001,Fast Charger Basic,Fast Chargers,Direct,118,531000.00
5/1/2024,FC-3003,Fast Charger Premium,Fast Chargers,Distributor,59,531000.00
2/1/2022,FC-3003,Fast Charger Premium,Fast Chargers,Direct,59,531000.00
2/1/2022,FC-3003,Fast Charger Premium,Fast Chargers,Distributor,59,531000.00
8/1/2022,CC-2003,Commercial Charger Pro,Commercial Chargers,Direct,194,523800.00
7/1/2022,CC-2003,Commercial Charger Pro,Commercial Chargers,Direct,194,523800.00
1/1/2022,CC-2003,Commercial Charger Pro,Commercial Chargers,Direct,194,523800.00
5/1/2021,CC-2003,Commercial Charger Pro,Commercial Chargers,Direct,194,523800.00
10/1/2022,FC-3003,Fast Charger Premium,Fast Chargers,Direct,58,522000.00
1/1/2021,PC-4003,Public Charger Pro,Public Chargers,Direct,57,513000.00
4/1/2023,CC-2003,Commercial Charger Pro,Commercial Chargers,Direct,189,510300.00
4/1/2023,CC-2003,Commercial Charger Pro,Commercial Chargers,Distributor,189,510300.00
9/1/2021,FC-3003,Fast Charger Premium,Fast Chargers,Direct,56,504000.00
7/1/2021,FC-3003,Fast Charger Premium,Fast Chargers,Direct,56,504000.00
7/1/2021,FC-3003,Fast Charger Premium,Fast Chargers,Distributor,56,504000.00
1/1/2021,FC-3003,Fast Charger Premium,Fast Chargers,Direct,56,504000.00
3/1/2023,PC-4003,Public Charger Pro,Public Chargers,Direct,56,504000.00
2/1/2021,PC-4003,Public Charger Pro,Public Chargers,Direct,56,504000.00
8/1/2023,CC-2003,Commercial Charger Pro,Commercial Chargers,Direct,185,499500.00
5/1/2023,CC-2003,Commercial Charger Pro,Commercial Chargers,Direct,185,499500.00
8/1/2021,FC-3003,Fast Charger Premium,Fast Chargers,Direct,55,495000.00
2/1/2023,CC-2003,Commercial Charger Pro,Commercial Chargers,Distributor,180,486000.00
12/1/2022,CC-2003,Commercial Charger Pro,Commercial Chargers,Direct,180,486000.00
7/1/2022,CC-2003,Commercial Charger Pro,Commercial Chargers,Distributor,180,486000.00
3/1/2022,CC-2003,Commercial Charger Pro,Commercial Chargers,Direct,180,486000.00
10/1/2021,CC-2003,Commercial Charger Pro,Commercial Chargers,Direct,180,486000.00
6/1/2021,CC-2003,Commercial Charger Pro,Commercial Chargers,Direct,180,486000.00
6/1/2021,CC-2003,Commercial Charger Pro,Commercial Chargers,Distributor,180,486000.00
4/1/2021,CC-2003,Commercial Charger Pro,Commercial Chargers,Direct,180,486000.00
2/1/2023,FC-3001,Fast Charger Basic,Fast Chargers,Direct,108,486000.00
9/1/2022,FC-3003,Fast Charger Premium,Fast Chargers,Direct,54,486000.00
