Date,Product ID,Product Name,Category,Sales Channel,Units Sold,Revenue
5/1/2024,FC-3003,Fast Charger Premium,Fast Chargers,Direct,137,"$1,233,000.00"
4/1/2024,FC-3003,Fast Charger Premium,Fast Chargers,Direct,115,"$1,035,000.00"
6/1/2023,FC-3003,Fast Charger Premium,Fast Chargers,Direct,106,"$954,000.00"
5/1/2022,FC-3003,Fast Charger Premium,Fast Chargers,Direct,103,"$927,000.00"
2/1/2024,FC-3003,Fast Charger Premium,Fast Chargers,Direct,102,"$918,000.00"
3/1/2024,FC-3003,Fast Charger Premium,Fast Chargers,Direct,98,"$882,000.00"
4/1/2023,FC-3003,Fast Charger Premium,Fast Chargers,Direct,88,"$792,000.00"
3/1/2023,FC-3003,Fast Charger Premium,Fast Chargers,Direct,88,"$792,000.00"
2/1/2023,FC-3003,Fast Charger Premium,Fast Chargers,Direct,88,"$792,000.00"
12/1/2022,FC-3003,Fast Charger Premium,Fast Chargers,Direct,88,"$792,000.00"
6/1/2024,FC-3003,Fast Charger Premium,Fast Chargers,Direct,86,"$774,000.00"
5/1/2023,FC-3003,Fast Charger Premium,Fast Chargers,Direct,85,"$765,000.00"
6/1/2022,FC-3003,Fast Charger Premium,Fast Chargers,Direct,85,"$765,000.00"
7/1/2023,FC-3003,Fast Charger Premium,Fast Chargers,Direct,84,"$756,000.00"
11/1/2022,FC-3003,Fast Charger Premium,Fast Chargers,Direct,84,"$756,000.00"
3/1/2021,FC-3003,Fast Charger Premium,Fast Chargers,Direct,78,"$702,000.00"
12/1/2023,FC-3003,Fast Charger Premium,Fast Chargers,Direct,77,"$693,000.00"
4/1/2022,FC-3003,Fast Charger Premium,Fast Chargers,Direct,77,"$693,000.00"
10/1/2023,FC-3003,Fast Charger Premium,Fast Chargers,Direct,76,"$684,000.00"
1/1/2023,FC-3003,Fast Charger Premium,Fast Chargers,Direct,75,"$675,000.00"
8/1/2022,FC-3003,Fast Charger Premium,Fast Chargers,Direct,75,"$675,000.00"
11/1/2023,FC-3003,Fast Charger Premium,Fast Chargers,Direct,74,"$666,000.00"
8/1/2023,FC-3003,Fast Charger Premium,Fast Chargers,Direct,73,"$657,000.00"
3/1/2022,FC-3003,Fast Charger Premium,Fast Chargers,Direct,72,"$648,000.00"
5/1/2021,FC-3003,Fast Charger Premium,Fast Chargers,Direct,72,"$648,000.00"
2/1/2021,CC-2003,Commercial Charger Pro,Commercial Chargers,Direct,239,"$645,300.00"
3/1/2021,CC-2003,Commercial Charger Pro,Commercial Chargers,Distributor,234,"$631,800.00"
7/1/2022,FC-3003,Fast Charger Premium,Fast Chargers,Direct,70,"$630,000.00"
9/1/2023,FC-3003,Fast Charger Premium,Fast Chargers,Direct,68,"$612,000.00"
5/1/2022,CC-2003,Commercial Charger Pro,Commercial Chargers,Direct,225,"$607,500.00"
3/1/2021,CC-2003,Commercial Charger Pro,Commercial Chargers,Direct,225,"$607,500.00"
2/1/2021,CC-2003,Commercial Charger Pro,Commercial Chargers,Distributor,225,"$607,500.00"
1/1/2024,FC-3003,Fast Charger Premium,Fast Chargers,Direct,67,"$603,000.00"
6/1/2022,FC-3003,Fast Charger Premium,Fast Chargers,Direct,66,"$594,000.00"
6/1/2022,FC-3003,Fast Charger Premium,Fast Chargers,Distributor,66,"$594,000.00"
5/1/2021,FC-3003,Fast Charger Premium,Fast Chargers,Direct,66,"$594,000.00"
5/1/2021,FC-3003,Fast Charger Premium,Fast Chargers,Distributor,66,"$594,000.00"
6/1/2022,PC-4003,Public Charger Pro,Public Chargers,Direct,66,"$594,000.00"
6/1/2021,FC-3003,Fast Charger Premium,Fast Chargers,Direct,65,"$585,000.00"
5/1/2023,CC-2003,Commercial Charger Pro,Commercial Chargers,Distributor,216,"$583,200.00"
5/1/2022,CC-2003,Commercial Charger Pro,Commercial Chargers,Distributor,216,"$583,200.00"
7/1/2021,CC-2003,Commercial Charger Pro,Commercial Chargers,Distributor,216,"$583,200.00"
5/1/2024,FC-3001,Fast Charger Basic,Fast Chargers,Direct,128,"$576,000.00"
2/1/2024,PC-4003,Public Charger Pro,Public Chargers,Direct,63,"$567,000.00"
6/1/2022,CC-2003,Commercial Charger Pro,Commercial Chargers,Distributor,207,"$558,900.00"
4/1/2022,FC-3003,Fast Charger Premium,Fast Chargers,Direct,62,"$558,000.00"
4/1/2022,FC-3003,Fast Charger Premium,Fast Chargers,Distributor,62,"$558,000.00"
1/1/2022,FC-3003,Fast Charger Premium,Fast Chargers,Direct,62,"$558,000.00"
1/1/2022,FC-3003,Fast Charger Premium,Fast Chargers,Distributor,62,"$558,000.00"
4/1/2023,FC-3002,Fast Charger Plus,Fast Chargers,Direct,148,"$555,000.00"
8/1/2021,CC-2003,Commercial Charger Pro,Commercial Chargers,Direct,203,"$548,100.00"
7/1/2021,CC-2003,Commercial Charger Pro,Commercial Chargers,Direct,203,"$548,100.00"
1/1/2021,CC-2003,Commercial Charger Pro,Commercial Chargers,Direct,203,"$548,100.00"
3/1/2022,FC-3003,Fast Charger Premium,Fast Chargers,Direct,60,"$540,000.00"
3/1/2022,FC-3003,Fast Charger Premium,Fast Chargers,Distributor,60,"$540,000.00"
3/1/2023,CC-2003,Commercial Charger Pro,Commercial Chargers,Direct,198,"$534,600.00"
3/1/2023,CC-2003,Commercial Charger Pro,Commercial Chargers,Distributor,198,"$534,600.00"
6/1/2022,CC-2003,Commercial Charger Pro,Commercial Chargers,Direct,198,"$534,600.00"
8/1/2021,CC-2003,Commercial Charger Pro,Commercial Chargers,Distributor,198,"$534,600.00"
6/1/2024,FC-3001,Fast Charger Basic,Fast Chargers,Direct,118,"$531,000.00"
5/1/2024,FC-3003,Fast Charger Premium,Fast Chargers,Distributor,59,"$531,000.00"
2/1/2022,FC-3003,Fast Charger Premium,Fast Chargers,Direct,59,"$531,000.00"
2/1/2022,FC-3003,Fast Charger Premium,Fast Chargers,Distributor,59,"$531,000.00"
8/1/2022,CC-2003,Commercial Charger Pro,Commercial Chargers,Direct,194,"$523,800.00"
7/1/2022,CC-2003,Commercial Charger Pro,Commercial Chargers,Direct,194,"$523,800.00"
1/1/2022,CC-2003,Commercial Charger Pro,Commercial Chargers,Direct,194,"$523,800.00"
5/1/2021,CC-2003,Commercial Charger Pro,Commercial Chargers,Direct,194,"$523,800.00"
10/1/2022,FC-3003,Fast Charger Premium,Fast Chargers,Direct,58,"$522,000.00"
1/1/2021,PC-4003,Public Charger Pro,Public Chargers,Direct,57,"$513,000.00"
4/1/2023,CC-2003,Commercial Charger Pro,Commercial Chargers,Direct,189,"$510,300.00"
4/1/2023,CC-2003,Commercial Charger Pro,Commercial Chargers,Distributor,189,"$510,300.00"
9/1/2021,FC-3003,Fast Charger Premium,Fast Chargers,Direct,56,"$504,000.00"
7/1/2021,FC-3003,Fast Charger Premium,Fast Chargers,Direct,56,"$504,000.00"
7/1/2021,FC-3003,Fast Charger Premium,Fast Chargers,Distributor,56,"$504,000.00"
1/1/2021,FC-3003,Fast Charger Premium,Fast Chargers,Direct,56,"$504,000.00"
3/1/2023,PC-4003,Public Charger Pro,Public Chargers,Direct,56,"$504,000.00"
2/1/2021,PC-4003,Public Charger Pro,Public Chargers,Direct,56,"$504,000.00"
8/1/2023,CC-2003,Commercial Charger Pro,Commercial Chargers,Direct,185,"$499,500.00"
5/1/2023,CC-2003,Commercial Charger Pro,Commercial Chargers,Direct,185,"$499,500.00"
8/1/2021,FC-3003,Fast Charger Premium,Fast Chargers,Direct,55,"$495,000.00"
2/1/2023,CC-2003,Commercial Charger Pro,Commercial Chargers,Distributor,180,"$486,000.00"
12/1/2022,CC-2003,Commercial Charger Pro,Commercial Chargers,Direct,180,"$486,000.00"
7/1/2022,CC-2003,Commercial Charger Pro,Commercial Chargers,Distributor,180,"$486,000.00"
